TambonEng,DistrictEngShort
Si Phum,Mueang Chiang Mai
Phra Sing,Mueang Chiang Mai
Hai Ya,Mueang Chiang Mai
Chang Moi,Mueang Chiang Mai
Chang Khlan,Mueang Chiang Mai
Wat Ket,Mueang Chiang Mai
Chang Phueak,Mueang Chiang Mai
Suthep,Mueang Chiang Mai
Mae Hia,Mueang Chiang Mai
Pa Daet,Mueang Chiang Mai
Nong Hoi,Mueang Chiang Mai
Tha Sala,Mueang Chiang Mai
Nong Pa Khrang,Mueang Chiang Mai
Fa Ham,Mueang Chiang Mai
Pa Tan,Mueang Chiang Mai
San Phi Suea,Mueang Chiang Mai
Ban Luang,Chom Thong
Khuang Pao,Chom Thong
Sop Tia,Chom Thong
Ban Pae,Chom Thong
Doi Kaeo,Chom Thong
Mae Soi,Chom Thong
Chang Khoeng,Mae Chaem
The Pha,Mae Chaem
Ban Thap,Mae Chaem
Mae Suek,Mae Chaem
Mae Na Chon,Mae Chaem
Pang Hin Fon,Mae Chaem
Kong Khaek,Mae Chaem
Chiang Dao,Chiang Dao
Mueang Na,Chiang Dao
Mueang Ngai,Chiang Dao
Mae Na,Chiang Dao
Mueang Khong,Chiang Dao
Ping Khong,Chiang Dao
Thung Khao Phuang,Chiang Dao
Choeng Doi,Doi Saket
San Pu Loei,Doi Saket
Luang Nuea,Doi Saket
Pa Pong,Doi Saket
Sa-nga Ban,Doi Saket
Pa Lan,Doi Saket
Talat Khwan,Doi Saket
Samran Rat,Doi Saket
Mae Khue,Doi Saket
Talat Yai,Doi Saket
Mae Hoi Ngoen,Doi Saket
Mae Pong,Doi Saket
Pa Miang,Doi Saket
Thep Sadet,Doi Saket
San Maha Phon,Mae Taeng
Mae Taeng,Mae Taeng
Khilek,Mae Taeng
Cho Lae,Mae Taeng
Mae Ho Phra,Mae Taeng
Sop Poeng,Mae Taeng
Ban Pao,Mae Taeng
San Pa Yang,Mae Taeng
Pa Pae,Mae Taeng
Mueang Kai,Mae Taeng
Ban Chang,Mae Taeng
Kuet Chang,Mae Taeng
Inthakhin,Mae Taeng
Rim Tai,Mae Rim
Rim Nuea,Mae Rim
San Pong,Mae Rim
Khilek,Mae Rim
Saluang,Mae Rim
Huai Sai,Mae Rim
Mae Raem,Mae Rim
Pong Yaeng,Mae Rim
Mae Sa,Mae Rim
Don Kaeo,Mae Rim
Mueang Kaeo,Mae Rim
Samoeng Tai,Samoeng
Samoeng Nuea,Samoeng
Mae Sap,Samoeng
Bo Kaeo,Samoeng
Yang Moen,Samoeng
Wiang,Fang
Mon Pin,Fang
